Timestamp,What is your age?,What is your highest level of education?,"What is your job? (Say ""N/A"" if not applicable, and ""Student"" if you're a student)","How familiar are you with visual art? (Paintings, digital, sketches, etc.)","Please describe your experience with art in a sentence, including mediums if you are an artist. If you have no familiarity with art, say ""None.""",How familiar are you with artificial intelligence (AI)?,What's your opinion on AI-generated art?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?
12/4/2023 0:21:26,19,Some College,Tutoring ,5,"Charcoal, graphite, oil paint, have been my main forms of mediums which are for about 10 years of not entirely consistent past time.",4,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1
12/4/2023 0:29:17,20,Some College,Student,4,"I draw, I paint almost weekly ",3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2
12/4/2023 0:31:34,18,Some College,Student,5,"Oil painting, charcoal, graphite, aryclic paint, pottery. ",4,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 0:45:42,19,Some College,Student,4,My father was a professional muralist when I was a kid and has a bachelor's in fine arts. He's taught me quite a lot.,3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1
12/4/2023 0:49:45,Nigga,Some High School,S,5,😂😂😂😂😂😂,5,Positive Opinion,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 2,Image 2,Image 2
12/4/2023 0:51:42,20,Some College,Student,2,Museums and brief study of historical art,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1
12/4/2023 1:02:04,18,High School or Equivalent,Student,1,I’m an actor and dancer since I was 5,5,Neutral Opinion/Don't Care,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1
12/4/2023 1:03:23,18,Some College,Student ,2,None really,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 1:06:47,18,Some College,Student,3,I’ve drawn a bit and watercolor painted,3,Negative Opinion,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1
12/4/2023 1:09:21,19,High School or Equivalent,Student ,3,Taken art all through high school,1,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 1:11:34,20,Some College,Student,4,I used to draw a lot,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1
12/4/2023 1:22:14,18,Some College,student,2,just painting in my room,2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1
12/4/2023 1:27:44,18,High School or Equivalent,Student ,3,None ,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 1:32:58,18,Associates or Vocational Degree,Student,4,"I’ve taken art classes and have experience working with paints, marker, crayons, colored pencils, chalk and more. ",5,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 1:53:33,20,Some College,CNA/Med Aide,2,"some acrylic painting and drawing, watercolor",3,Negative Opinion,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 2:25:55,19,Some College,Student ,2,None,2,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 2:30:28,20,Some College,Student,4,"Familiarity w paint, sketches, photography, digital art",4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1
12/4/2023 6:30:55,20,Some College,Actuarial Intern,2,Required art courses up to middle school,2,Negative Opinion,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/4/2023 6:34:18,20,Some College,Student,4,I know a lot of online artists ,4,Negative Opinion,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2
